City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,97,NZ,1587499568,94,-46.19,168.86,282.59,0.45
ushuaia,75,AR,1587499520,70,-54.8,-68.3,280.15,13.4
zykovo,100,RU,1587499749,47,55.95,93.15,275.15,1.0
yerbogachen,97,RU,1587499750,95,61.28,108.01,271.5,2.62
airai,40,TL,1587499750,71,-8.93,125.41,288.86,1.48
